Language Accuracy: 0.9788630694499146
NE Accuracy: 0.9688109161793372
Token	Gold Standard	Tagged Language	Named Entity	Evaluation
—	Punct	Punct	O	NA
No	Spn	Spn	O	Correct
!	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
pue	Spn	Spn	O	Correct
’	Punct	Punct	O	NA
se	Spn	Spn	O	Correct
’	Punct	Punct	O	NA
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
esto	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
normal	Spn	Eng	O	Incorrect
.	Punct	Punct	O	NA
–	Punct	Punct	O	NA
Qué	Spn	Spn	O	Correct
?	Punct	Punct	O	NA
le	Spn	Spn	O	Correct
pregunté	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
dreading	Eng	Eng	O	Correct
his	Eng	Eng	O	Correct
response	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Porque	Spn	Spn	O	Correct
when	Eng	Eng	O	Correct
we’d	Eng	Eng	O	Correct
first	Eng	Eng	O	Correct
entered	Eng	Eng	O	Correct
El	NamedEnt	Spn	PERSON/O	Correct
Chino	NamedEnt	Spn	PERSON/ORG	Correct
,	Punct	Punct	O	NA
he’d	Eng	Eng	O	Correct
whispered	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
me	Eng	Spn	O	Incorrect
,	Punct	Punct	O	NA
—	Punct	Punct	O	NA
Esto	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
gusta	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
Susana	NamedEnt	Spn	PERSON/PERS	Correct
.	Punct	Punct	O	NA
Parece	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
van	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
estafar	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
eh	Spn	Spn	O	Correct
?	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
tan	Spn	Spn	O	Correct
inocente	Spn	Spn	O	Correct
entonces	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
only	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
couple	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
hours	Eng	Eng	O	Correct
earlier	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
le	Spn	Spn	O	Correct
había	Spn	Spn	O	Correct
asegurado	Spn	Spn	O	Correct
—	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
Pablo	NamedEnt	Spn	PERSON/PERS	Correct
.	Punct	Punct	O	NA
Que	Spn	Spn	O	Correct
este	Spn	Spn	O	Correct
lugar	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
para	Spn	Spn	O	Correct
insiders	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Not	Eng	Eng	O	Correct
for	Eng	Eng	O	Correct
